,date,month,hour,2018_values,2019_values,2020_values,2021_values,2022_values,2023_values
339,15,01,03,1266.58,1394.52,1219.11,1377.38,1400.37,1297.58
340,15,01,04,1352.23,1490.72,1311.33,1469.79,1427.65,1280.86
341,15,01,05,1620.46,1752.51,1592.84,1692.97,1499.87,1293.35
342,15,01,06,1874.56,1994.59,1834.64,1950.8,1632.73,1362.31
343,15,01,07,1972.15,2031.67,1895.34,2087.5,1737.03,1468.0
344,15,01,08,1991.76,2063.62,1893.89,2083.63,1837.46,1567.77
345,15,01,09,2038.72,2070.74,1882.49,2086.07,1880.79,1625.24
346,15,01,10,2012.82,2061.76,1861.94,2069.22,1889.44,1659.23
347,15,01,11,2003.53,2074.87,1847.15,2038.45,1884.35,1689.72
348,15,01,12,2006.78,2082.19,1848.7,2000.71,1833.23,1680.72
349,15,01,13,1996.97,2041.43,1829.19,1990.58,1786.07,1674.19
350,15,01,14,1982.7,2012.63,1852.43,2002.36,1802.16,1716.22
351,15,01,15,2078.93,2097.97,1939.37,2078.5,1928.76,1817.04
352,15,01,16,2200.27,2232.76,2076.78,2246.02,2092.0,1930.36
353,15,01,17,2143.07,2160.5,1996.94,2208.57,2058.06,1887.79
354,15,01,18,2019.12,2016.24,1864.7,2029.95,1920.38,1771.18
355,15,01,19,1879.68,1865.65,1781.67,1875.89,1805.0,1652.51
356,15,01,20,1744.51,1716.61,1684.61,1755.79,1701.35,1527.91
357,15,01,21,1581.7,1549.79,1530.14,1668.43,1619.64,1442.36
358,15,01,22,1434.92,1426.33,1399.66,1587.19,1528.1,1356.93
359,15,01,23,1341.71,1355.62,1334.72,1496.49,1451.11,1318.69
360,16,01,00,1291.54,1291.12,1236.6,1444.0,1383.11,1293.55
361,16,01,01,1258.65,1277.98,1222.14,1418.0,1343.44,1265.25
362,16,01,02,1275.3,1309.33,1256.41,1449.89,1318.36,1255.34
